age,d13c
0.00E+00,2.7312
2.00E+03,2.323210146
4.00E+03,1.915220292
6.00E+03,1.606785794
8.00E+03,1.397906652
1.00E+04,1.189027509
1.20E+04,0.980148367
1.40E+04,0.771269225
1.60E+04,0.562390083
1.80E+04,0.35351094
2.00E+04,0.270842325
2.20E+04,0.210446155
2.40E+04,0.150049985
2.60E+04,0.089653815
2.80E+04,0.029257646
3.00E+04,-0.031138524
3.20E+04,-0.060234408
3.40E+04,0.035870852
3.60E+04,0.131976113
3.80E+04,0.228081373
4.00E+04,0.324186633
4.20E+04,0.420291894
4.40E+04,0.516397154
4.60E+04,0.620204405
4.80E+04,0.730313285
5.00E+04,0.840422165
5.20E+04,0.950531046
5.40E+04,1.060639926
5.60E+04,1.170748806
5.80E+04,1.280857686
6.00E+04,1.301433655
6.20E+04,1.312061524
6.40E+04,1.322689392
6.60E+04,1.33331726
6.80E+04,1.343945129
7.00E+04,1.354572997
7.20E+04,1.365761064
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
